SampleID,Actinobacteria,Bacteroides,Bacteroidetes,Bifidobacterium,Clostridium,Cyanobacteria,Firmicutes,Fusobacteria,Lactobacillus,Other,Prevotella,Proteobacteria,Tenericutes,Verrucomicrobia,Age,Sex
000015867.fixed205,0.0018,0.1677,0.0483,0.0001,0.0015,0.0,0.1836,0.0,0.0001,0.0002,0.0006,0.5933,0.0016,0.0012,29,0
000017218.fixed536,0.0132,0.3014,0.1104,0.0072,0.0037,0.0404,0.4388,0.0,0.0,0.0006,0.0045,0.0796,0.0,0.0002,26,1
000015194.fixed339,0.0054,0.1507,0.1065,0.0072,0.0103,0.0001,0.6142,0.0001,0.0,0.0012,0.0253,0.0165,0.0154,0.0471,39,0
000017220.fixed538,0.0053,0.3226,0.0924,0.0287,0.0075,0.035,0.4499,0.0001,0.0001,0.0005,0.0026,0.0528,0.0,0.0025,26,1
000017060.fixed531,0.0084,0.1282,0.1552,0.0099,0.0056,0.0001,0.5965,0.0001,0.0,0.0011,0.0105,0.0239,0.021,0.0395,39,0
000015124.fixed328,0.0028,0.2236,0.0974,0.0355,0.0001,0.0,0.6078,0.0001,0.0003,0.0,0.0019,0.0305,0.0,0.0,26,0
000017057.fixed528,0.0052,0.1357,0.1612,0.0052,0.0092,0.0,0.5266,0.0001,0.0,0.0002,0.0636,0.0134,0.0228,0.0568,39,0
000014356.fixed307,0.0039,0.1875,0.0646,0.0045,0.0035,0.0029,0.6665,0.0,0.0001,0.0011,0.0287,0.0339,0.0013,0.0015,60,0
000017058.fixed529,0.0083,0.1809,0.1288,0.0107,0.0055,0.0,0.5784,0.0002,0.0009,0.0001,0.0062,0.0229,0.0196,0.0375,39,0
000016730.fixed487,0.0208,0.2955,0.0488,0.0176,0.0049,0.0163,0.5435,0.0003,0.0,0.0009,0.015,0.0364,0.0,0.0,26,1
000015191.fixed336,0.0053,0.0933,0.0543,0.0083,0.0057,0.0004,0.6319,0.0004,0.0,0.0008,0.1607,0.0127,0.0145,0.0117,39,0
000015580.fixed723,0.0442,0.3787,0.0886,0.0001,0.0001,0.0379,0.3556,0.0001,0.0001,0.0001,0.0266,0.0226,0.0414,0.0039,45,1
000016458.fixed746,0.0092,0.0517,0.0164,0.0006,0.0119,0.0003,0.8446,0.0,0.0002,0.0069,0.0037,0.0129,0.0075,0.0341,53,0
000016470.fixed656,0.0059,0.3862,0.0967,0.0011,0.0085,0.0002,0.4477,0.0001,0.0002,0.0,0.0002,0.0432,0.0098,0.0002,21,1
000004250.fixed650,0.0013,0.5847,0.1122,0.0004,0.0011,0.0008,0.227,0.0001,0.0,0.0,0.0015,0.0709,0.0,0.0,40,0
000014493.1259660,0.0047,0.2477,0.1079,0.0088,0.0068,0.0058,0.5386,0.0003,0.0004,0.0038,0.0061,0.0385,0.0263,0.0043,34,0
000015624.fixed700,0.0017,0.0524,0.0147,0.0002,0.0052,0.0007,0.8462,0.0,0.0,0.0,0.0001,0.004,0.0196,0.0552,54,1
000005753.1131729,0.0031,0.1932,0.0605,0.0006,0.0036,0.0007,0.6385,0.0,0.0,0.0018,0.0173,0.0644,0.0157,0.0006,61,1
000011941.1257177,0.0031,0.3174,0.1007,0.0001,0.002,0.0,0.5495,0.0,0.0121,0.0002,0.0008,0.0139,0.0001,0.0001,61,0
000012254.1257135,0.001,0.6194,0.0456,0.0014,0.0034,0.0,0.3011,0.0,0.0,0.0,0.0019,0.0253,0.0001,0.0008,53,1
000015594.fixed691,0.0076,0.1874,0.1308,0.0,0.0039,0.0003,0.6231,0.0002,0.0002,0.0043,0.023,0.0166,0.0019,0.0007,55,0
000001688.fixed960,0.0031,0.3389,0.0608,0.0017,0.0005,0.0,0.3154,0.0,0.0002,0.0,0.2595,0.0135,0.0029,0.0035,36,1
000001056.1075927,0.0001,0.3905,0.1021,0.0,0.0008,0.0,0.3709,0.0,0.0,0.0,0.0013,0.1333,0.0009,0.0001,33,1
000001589.1076022,0.2059,0.0107,0.0041,0.0398,0.0062,0.0002,0.5784,0.0,0.0002,0.0007,0.0031,0.0009,0.1477,0.0021,56,0
000001955.1075736,0.0025,0.4644,0.2259,0.0014,0.0012,0.0,0.2797,0.0,0.0,0.0004,0.0007,0.0109,0.0071,0.0058,64,0
000001551.1075786,0.0006,0.3778,0.2202,0.0011,0.0007,0.0,0.3511,0.0,0.0,0.0,0.0002,0.0359,0.0124,0.0,58,0
000001516.1075727,0.0003,0.5308,0.14,0.0,0.0008,0.0,0.3216,0.0,0.0,0.0,0.0014,0.0006,0.0035,0.001,53,1
000001099.1076045,0.0055,0.0714,0.0641,0.0002,0.0231,0.0003,0.7228,0.0045,0.0,0.0,0.013,0.0141,0.0418,0.0392,45,0
000004009.1075925,0.0034,0.2824,0.0354,0.1033,0.0055,0.0,0.5485,0.0,0.0003,0.0,0.0105,0.0054,0.0,0.0053,33,1
000001004.1076113,0.0003,0.2701,0.2933,0.0,0.0005,0.0009,0.276,0.0,0.0,0.0,0.0131,0.0262,0.0,0.1196,43,0
000001704.1075734,0.0003,0.7438,0.0797,0.0032,0.0001,0.0,0.1574,0.0,0.0,0.0,0.0011,0.0144,0.0,0.0,31,1
000003666.1076026,0.0026,0.2627,0.0955,0.0005,0.0057,0.0,0.5698,0.0,0.0,0.055,0.0003,0.0078,0.0,0.0001,33,0
000002637.1075872,0.001,0.5497,0.2129,0.0005,0.0005,0.0,0.1965,0.0,0.0,0.0,0.0003,0.0385,0.0001,0.0,31,1
000002885.1075800,0.004,0.1797,0.0358,0.0126,0.0046,0.0,0.734,0.0001,0.0,0.0001,0.0166,0.0064,0.0012,0.0049,30,0
000001878.1076032,0.0021,0.5176,0.092,0.0,0.0013,0.0,0.2993,0.0,0.0,0.0002,0.0557,0.0185,0.0,0.0133,61,1
000002349.1075894,0.0012,0.5037,0.1384,0.0001,0.002,0.0034,0.3155,0.0,0.0,0.0011,0.0005,0.0318,0.0003,0.002,49,0
000003364.1076059,0.0,0.3583,0.0716,0.0009,0.0005,0.0,0.3847,0.0,0.0,0.0,0.0148,0.0272,0.0009,0.1411,59,0
000001121.1075814,0.0017,0.3851,0.0761,0.0001,0.0005,0.0,0.4166,0.0,0.0,0.0,0.0001,0.1139,0.0019,0.004,59,0
000001961.1075985,0.0015,0.3699,0.053,0.0,0.0004,0.0,0.2872,0.0,0.0,0.0,0.0003,0.0147,0.0,0.273,60,0
000001380.1076102,0.0033,0.2297,0.0878,0.0,0.0001,0.0003,0.6316,0.0,0.0,0.0033,0.003,0.0326,0.0083,0.0,65,0
000001969.1076115,0.0009,0.4047,0.0435,0.0144,0.0039,0.0,0.5115,0.0,0.0,0.0,0.0002,0.0051,0.007,0.0088,61,0
000002444.1075784,0.0303,0.2472,0.0648,0.003,0.0009,0.0001,0.4684,0.0,0.0,0.0,0.0087,0.1603,0.0018,0.0145,34,1
000001427.1075893,0.0024,0.0038,0.0127,0.0862,0.0014,0.0003,0.3883,0.0,0.0006,0.0,0.4897,0.0113,0.0012,0.0021,33,0
000002446.1075774,0.0005,0.0076,0.0875,0.0002,0.0028,0.0001,0.2554,0.0,0.0,0.001,0.634,0.0091,0.0012,0.0006,53,1
000004072.1076100,0.0011,0.5059,0.1045,0.0011,0.0011,0.0002,0.1642,0.0,0.0,0.0029,0.198,0.0208,0.0,0.0002,59,0
000003880.1075842,0.0035,0.4372,0.0661,0.0023,0.0013,0.0004,0.4773,0.0,0.0,0.0,0.0008,0.0038,0.0073,0.0,50,1
000002690.1075892,0.0317,0.1518,0.0977,0.0038,0.0018,0.0005,0.6724,0.0,0.0005,0.0004,0.0077,0.0172,0.005,0.0095,52,0
000001694.1075841,0.0063,0.4635,0.1093,0.0,0.0027,0.0,0.373,0.0,0.01,0.0003,0.0002,0.0347,0.0,0.0,68,0
000001436.1075795,0.0023,0.0782,0.0484,0.035,0.0011,0.0001,0.7066,0.0,0.0,0.0,0.062,0.0136,0.0455,0.0072,31,1
000001652.1076108,0.1178,0.1971,0.0858,0.0003,0.0019,0.0,0.545,0.0,0.0046,0.0016,0.0016,0.0185,0.0258,0.0,45,1
000004040.1075929,0.0002,0.5377,0.0319,0.0009,0.0161,0.0,0.4061,0.0,0.0,0.0,0.0013,0.0057,0.0001,0.0,42,1
000002211.1075742,0.0008,0.4407,0.026,0.0158,0.0023,0.0,0.441,0.0,0.0001,0.0017,0.0004,0.0489,0.01,0.0123,67,0
000002736.1076008,0.0139,0.3427,0.0489,0.0001,0.0004,0.0001,0.4723,0.0,0.0,0.02,0.0004,0.0044,0.0329,0.0639,58,0
000002606.1075777,0.0038,0.3696,0.0559,0.0,0.001,0.0,0.4724,0.0,0.0,0.0,0.0679,0.0115,0.0117,0.0062,50,1
000002185.1075996,0.0063,0.4443,0.2813,0.0,0.0025,0.0004,0.2286,0.0,0.0,0.0003,0.0003,0.0358,0.0,0.0002,45,0
000005238.1076291,0.0188,0.002,0.0078,0.0341,0.001,0.0,0.7887,0.0003,0.0,0.0025,0.1273,0.0099,0.0075,0.0001,53,1
000004915.1076343,0.007,0.2105,0.0738,0.039,0.0016,0.0,0.569,0.0,0.001,0.0,0.0074,0.0096,0.078,0.0031,32,0
000005776.1076333,0.0029,0.1235,0.104,0.0003,0.0082,0.0004,0.6415,0.0,0.0,0.0011,0.056,0.0332,0.0023,0.0266,66,0
000004694.1076305,0.0029,0.3772,0.1149,0.0003,0.0144,0.0,0.4095,0.0001,0.0,0.0002,0.0007,0.0526,0.0199,0.0073,56,0
000005073.1076469,0.0772,0.2056,0.0428,0.0,0.0027,0.0002,0.6149,0.0,0.0,0.0005,0.0006,0.0529,0.0025,0.0001,60,0
000002980.1076308,0.0052,0.0084,0.1332,0.0,0.0736,0.0001,0.7609,0.0,0.0016,0.0,0.0024,0.0145,0.0001,0.0,58,0
000002403.1076244,0.0037,0.2193,0.1765,0.0003,0.0093,0.0011,0.4117,0.0,0.0001,0.0,0.0003,0.1776,0.0001,0.0,56,0
000004847.1076145,0.012,0.0978,0.0359,0.0055,0.0,0.0,0.4174,0.0,0.0016,0.0,0.4267,0.003,0.0001,0.0,41,1
000003370.1076149,0.0617,0.3362,0.0645,0.0,0.0125,0.0,0.4897,0.0,0.0,0.0,0.0007,0.0276,0.0017,0.0054,44,1
000002818.1076355,0.0043,0.0724,0.0222,0.0121,0.002,0.0001,0.2943,0.0,0.0,0.0002,0.5873,0.0023,0.0027,0.0001,30,1
000001111.1076323,0.0023,0.1483,0.1108,0.0023,0.0,0.0,0.202,0.0,0.0,0.0007,0.0001,0.5312,0.0019,0.0004,51,1
000005554.1076439,0.0036,0.0855,0.1197,0.0,0.0029,0.0021,0.7059,0.0,0.0,0.0,0.0604,0.0102,0.0024,0.0073,23,0
000003277.1076480,0.0015,0.3767,0.0876,0.0,0.0019,0.0,0.4754,0.0,0.0,0.0,0.0012,0.0491,0.001,0.0056,67,0
000001500.1076150,0.0097,0.3405,0.0725,0.0284,0.0016,0.0002,0.5257,0.0,0.0008,0.0007,0.0002,0.0072,0.0,0.0125,44,1
000002064.1076346,0.0053,0.0982,0.1266,0.0,0.0098,0.0009,0.7454,0.0,0.0,0.0003,0.0033,0.0057,0.0031,0.0014,42,0
000002384.1076153,0.0038,0.1564,0.0436,0.0005,0.0367,0.0,0.6637,0.0,0.0,0.0011,0.0103,0.0121,0.0702,0.0016,70,1
000002783.1076422,0.0014,0.3624,0.0818,0.0005,0.0044,0.0,0.4109,0.0,0.0,0.0105,0.0002,0.0989,0.0273,0.0017,58,1
000001423.1076221,0.001,0.4785,0.0199,0.0007,0.0005,0.0,0.4576,0.0,0.0,0.0,0.0,0.0119,0.0299,0.0,47,1
000003002.1076454,0.0037,0.1509,0.0327,0.0002,0.0022,0.0,0.3635,0.0,0.0032,0.0034,0.0076,0.0519,0.0132,0.3675,44,1
000005576.1076167,0.0385,0.107,0.043,0.0793,0.0012,0.0001,0.7026,0.0,0.0,0.0001,0.0121,0.0049,0.0103,0.0009,31,1
000005080.1076430,0.0049,0.1769,0.1321,0.0079,0.0012,0.0001,0.6475,0.0,0.0,0.0002,0.001,0.0149,0.0133,0.0,31,1
000001286.1076166,0.0017,0.4849,0.1132,0.0001,0.0042,0.0,0.2711,0.0,0.0,0.0,0.0866,0.0206,0.0123,0.0053,54,0
000005293.1076162,0.0111,0.058,0.1956,0.0005,0.0009,0.0,0.3762,0.0001,0.0,0.0001,0.3057,0.0032,0.0016,0.047,67,1
000002348.1076160,0.0092,0.1802,0.0363,0.0205,0.0059,0.0,0.7376,0.0,0.0,0.0,0.0013,0.0022,0.003,0.0038,45,1
000004811.1076450,0.1117,0.4328,0.0828,0.0,0.0004,0.0002,0.3313,0.0,0.0001,0.0001,0.0003,0.0403,0.0,0.0,68,1
000004855.1053784,0.0005,0.3004,0.0131,0.0079,0.0,0.0001,0.0846,0.0043,0.0001,0.0,0.0013,0.5877,0.0,0.0,26,0
000003810.1053816,0.0117,0.0858,0.0126,0.1334,0.0023,0.0006,0.7452,0.0001,0.0034,0.0,0.0004,0.0006,0.003,0.0009,34,1
000002172.1053857,0.0009,0.2069,0.2177,0.0027,0.0011,0.0009,0.5464,0.0,0.0,0.0009,0.0155,0.0048,0.0,0.0022,28,1
000006808.1053880,0.0022,0.5318,0.0627,0.004,0.0005,0.0001,0.3394,0.0001,0.0003,0.0001,0.0002,0.003,0.0091,0.0465,58,0
000005807.1053929,0.0006,0.0869,0.0287,0.0002,0.0025,0.0008,0.215,0.0,0.0001,0.0002,0.0005,0.6599,0.0046,0.0,74,1
000006809.1053726,0.0016,0.4655,0.0565,0.1117,0.0001,0.0,0.3349,0.0,0.0,0.0011,0.0027,0.0159,0.0097,0.0003,48,1
000005965.1131938,0.0041,0.3718,0.0775,0.0,0.0294,0.0002,0.477,0.0,0.0,0.0,0.0003,0.0367,0.0028,0.0002,57,0
000007139.1131933,0.0027,0.2019,0.0927,0.0034,0.0047,0.0032,0.5186,0.0,0.0,0.0032,0.1043,0.0256,0.0343,0.0054,56,0
000006064.1131748,0.2626,0.084,0.0316,0.0098,0.0017,0.0,0.5607,0.0003,0.0076,0.0005,0.0003,0.0009,0.0187,0.0213,75,1
000005553.1131810,0.0199,0.2032,0.0694,0.0083,0.0022,0.0002,0.6386,0.0,0.0,0.0,0.0202,0.0134,0.0,0.0246,41,1
000006912.1131585,0.0297,0.1218,0.0839,0.0026,0.0029,0.007,0.5957,0.004,0.0025,0.002,0.1165,0.0284,0.003,0.0,30,0
000006803.1131961,0.0026,0.2254,0.058,0.0024,0.002,0.0118,0.6773,0.0,0.0,0.0004,0.0009,0.0187,0.0,0.0005,47,1
000006800.1131570,0.0045,0.096,0.0087,0.0021,0.004,0.0001,0.8227,0.0,0.0005,0.0044,0.0126,0.0159,0.0141,0.0144,62,0
000002013.1131550,0.0038,0.0626,0.0469,0.0474,0.0018,0.0,0.7443,0.0,0.0001,0.0003,0.0638,0.0058,0.0085,0.0147,37,1
000006053.1131699,0.0023,0.0886,0.0281,0.0,0.0003,0.0,0.5474,0.0001,0.0,0.0004,0.2991,0.013,0.0178,0.0029,30,1
000001184.1131760,0.0024,0.2895,0.0545,0.0223,0.0088,0.0,0.5222,0.0,0.0001,0.0055,0.0176,0.0094,0.0011,0.0666,62,0
000005814.1131681,0.0019,0.3229,0.0955,0.0042,0.0327,0.0025,0.5011,0.0,0.002,0.0,0.0017,0.0315,0.0038,0.0002,31,1
000002259.1131931,0.1497,0.0009,0.001,0.0,0.0,0.0,0.7556,0.0028,0.0,0.0,0.0834,0.0066,0.0,0.0,50,0
000006729.1131640,0.0011,0.3768,0.064,0.0018,0.002,0.0002,0.5309,0.0,0.0,0.0,0.0001,0.0173,0.0006,0.0052,41,0
000005981.1131913,0.055,0.2562,0.0491,0.0015,0.0032,0.0002,0.5113,0.0,0.0,0.0,0.0248,0.005,0.0465,0.0472,73,1
000002159.1131556,0.0026,0.1254,0.0495,0.1355,0.0023,0.0,0.6709,0.0,0.0017,0.0,0.0014,0.0103,0.0,0.0004,45,0
000005020.1131526,0.0128,0.3974,0.1489,0.0038,0.0089,0.0,0.3894,0.0003,0.0002,0.0009,0.0129,0.0149,0.0096,0.0,28,0
000006678.1131726,0.0023,0.249,0.0109,0.0018,0.0024,0.0,0.6948,0.0,0.0,0.0001,0.0005,0.0086,0.0295,0.0001,40,1
000004813.1131936,0.0089,0.1109,0.0315,0.002,0.0031,0.0,0.6012,0.0,0.0,0.0005,0.2186,0.0226,0.0,0.0007,27,1
000003358.1131830,0.0028,0.3138,0.0286,0.0,0.0,0.0,0.5894,0.0,0.0,0.0,0.0005,0.0051,0.0,0.0598,34,1
000006665.1131906,0.0059,0.086,0.0616,0.0148,0.0123,0.0,0.581,0.0,0.0007,0.0006,0.0256,0.1169,0.0945,0.0001,44,1
000005846.1131690,0.0037,0.2056,0.0227,0.0162,0.0137,0.0,0.6986,0.0003,0.0,0.0001,0.001,0.0296,0.0023,0.0062,36,1
000006717.1131775,0.0008,0.2593,0.115,0.0145,0.0048,0.0,0.5173,0.0,0.0003,0.0,0.0002,0.0431,0.0069,0.0378,40,1
000003982.1131780,0.0123,0.0022,0.0027,0.0,0.0052,0.0001,0.901,0.0,0.0,0.0,0.0009,0.0031,0.0088,0.0637,30,1
000006625.1131798,0.001,0.0018,0.0642,0.0067,0.0074,0.0001,0.5366,0.0,0.0119,0.0,0.3602,0.0101,0.0,0.0,50,1
000001513.1131954,0.0002,0.559,0.1936,0.006,0.0004,0.0,0.2153,0.0001,0.0,0.001,0.0006,0.0137,0.0027,0.0074,63,0
000005939.1131557,0.0005,0.0169,0.0953,0.0001,0.0,0.0,0.0114,0.0001,0.0001,0.0,0.0001,0.8686,0.0,0.0069,66,0
000007678.1131860,0.0003,0.0141,0.4554,0.0013,0.0017,0.0024,0.1336,0.0,0.0,0.001,0.0039,0.3851,0.0008,0.0004,46,0
000009118.1131662,0.024,0.1729,0.1356,0.0,0.0034,0.0,0.6546,0.0,0.0,0.0002,0.0016,0.0027,0.005,0.0,39,1
000007675.1131847,0.0016,0.4668,0.0765,0.0057,0.0151,0.0126,0.2861,0.0,0.0,0.0108,0.0012,0.1032,0.0203,0.0001,38,0
000006635.1131865,0.0027,0.0095,0.038,0.0003,0.0019,0.0036,0.3579,0.0001,0.0,0.0031,0.4452,0.1317,0.006,0.0,42,1
000005782.1131679,0.0007,0.1875,0.2256,0.0,0.0107,0.0,0.3051,0.0,0.0,0.0002,0.0011,0.0044,0.0073,0.2574,50,0
000007666.1131714,0.0078,0.3322,0.1241,0.0022,0.0025,0.0002,0.4896,0.0,0.0,0.0002,0.0216,0.0137,0.0058,0.0001,45,0
000005927.1131701,0.0013,0.0578,0.0258,0.0008,0.0065,0.0012,0.5621,0.0,0.0001,0.0001,0.3251,0.0132,0.0049,0.0011,29,1
000005924.1131540,0.0019,0.2907,0.1382,0.0008,0.0004,0.0,0.5247,0.0001,0.0,0.0059,0.0,0.0253,0.0,0.012,60,0
000005845.1131883,0.0002,0.2444,0.0272,0.0011,0.005,0.0005,0.6834,0.0001,0.0001,0.0003,0.0004,0.02,0.0043,0.013,31,0
000004693.1130457,0.1199,0.0459,0.0149,0.0442,0.0018,0.0,0.7446,0.0,0.0,0.0006,0.0172,0.0024,0.007,0.0015,62,1
000007663.1130288,0.0024,0.6665,0.0495,0.0004,0.0044,0.0,0.145,0.0,0.0,0.0,0.0011,0.1307,0.0,0.0,60,1
000006976.1130125,0.0056,0.1102,0.0276,0.0042,0.0009,0.0,0.6989,0.0001,0.0097,0.0,0.1051,0.0279,0.0091,0.0007,65,1
000004679.1130106,0.0366,0.1325,0.0283,0.0,0.0022,0.0031,0.678,0.0,0.0,0.0091,0.0007,0.1094,0.0,0.0001,55,1
000003003.1130399,0.0026,0.1405,0.2594,0.0,0.004,0.0002,0.4708,0.0,0.0001,0.0,0.0004,0.0214,0.02,0.0806,43,0
000009215.1130407,0.0006,0.6569,0.028,0.0018,0.0012,0.0008,0.2535,0.0001,0.0005,0.0,0.0007,0.0559,0.0,0.0,69,1
000006930.1130327,0.0034,0.2478,0.0531,0.0,0.0159,0.0039,0.6148,0.0,0.0,0.0,0.0,0.024,0.0371,0.0,65,0
000002370.1130350,0.003,0.2935,0.211,0.0032,0.0065,0.0037,0.3225,0.0,0.0002,0.0009,0.1264,0.0222,0.0048,0.0021,72,1
000009157.1130469,0.0029,0.1188,0.1024,0.0222,0.0015,0.0,0.738,0.0,0.0,0.0008,0.0,0.0008,0.0003,0.0123,61,0
000002068.1130031,0.0078,0.0144,0.0021,0.0005,0.0051,0.0,0.9562,0.0,0.0,0.0004,0.0002,0.0131,0.0002,0.0,40,1
000006761.1130531,0.0976,0.0857,0.1425,0.0001,0.0098,0.0006,0.5084,0.0,0.0,0.0041,0.1037,0.0182,0.0288,0.0005,51,1
000009644.1130259,0.0006,0.1767,0.0592,0.0,0.0007,0.0,0.0546,0.0,0.0,0.0006,0.0021,0.6947,0.0104,0.0004,69,0
000003226.1130269,0.0278,0.1724,0.0208,0.0015,0.0009,0.0002,0.7412,0.0,0.0003,0.0,0.0019,0.002,0.0212,0.0098,45,0
000007740.1130093,0.0018,0.1835,0.204,0.0018,0.0055,0.0,0.3394,0.0,0.0,0.0035,0.2235,0.0264,0.0079,0.0027,50,1
000009101.1130491,0.0045,0.0047,0.2718,0.0,0.0123,0.0001,0.4712,0.0,0.0001,0.0056,0.1922,0.0327,0.0009,0.0039,43,1
000007673.1130155,0.0027,0.2206,0.1647,0.0002,0.0364,0.0005,0.4385,0.0,0.0001,0.0013,0.0023,0.0531,0.0169,0.0627,40,0
000004611.1130245,0.0015,0.4193,0.0584,0.0009,0.0051,0.0,0.482,0.0,0.0,0.0004,0.0007,0.0224,0.0004,0.0089,44,1
000003177.1130440,0.0003,0.6538,0.0356,0.0,0.0053,0.0,0.2873,0.0,0.0,0.0,0.0006,0.0163,0.0007,0.0001,57,0
000003061.1130064,0.0051,0.2702,0.0816,0.0241,0.0134,0.0,0.5256,0.0,0.0001,0.0052,0.0053,0.0239,0.0156,0.0299,48,0
000007698.1130472,0.0549,0.3436,0.1144,0.0315,0.002,0.0,0.4129,0.0,0.0,0.0,0.0027,0.0292,0.0,0.0088,34,1
000009174.1130293,0.0416,0.346,0.0973,0.0,0.0029,0.0001,0.4593,0.0,0.0,0.0006,0.0002,0.0484,0.0016,0.002,37,0
000009385.1130395,0.0025,0.1853,0.0255,0.0011,0.0022,0.0001,0.7728,0.0,0.0001,0.0,0.0002,0.0055,0.0011,0.0036,50,0
000002646.1130294,0.2301,0.001,0.0046,0.0001,0.0,0.0,0.4734,0.001,0.0,0.0004,0.0002,0.2892,0.0,0.0,42,1
000009375.1130497,0.0018,0.2845,0.1242,0.0041,0.0064,0.0001,0.5348,0.0,0.0022,0.0,0.0067,0.0246,0.0104,0.0002,61,1
000004026.1130283,0.0011,0.0774,0.034,0.0027,0.0106,0.0,0.7244,0.0,0.0088,0.0003,0.0614,0.0412,0.0381,0.0,49,1
000009102.1130180,0.0008,0.1112,0.1229,0.0,0.0058,0.0046,0.435,0.0,0.0,0.0001,0.2974,0.0191,0.0006,0.0025,38,1
000002772.1130083,0.0356,0.129,0.0963,0.0013,0.0068,0.0,0.6534,0.0,0.0002,0.0015,0.0656,0.0097,0.0006,0.0,59,1
000008964.1213057,0.0011,0.0784,0.0549,0.0,0.0026,0.0,0.555,0.0001,0.0003,0.0002,0.2687,0.0324,0.0061,0.0002,34,0
000010138.1213061,0.001,0.3374,0.0198,0.007,0.0026,0.0001,0.6086,0.0003,0.001,0.0001,0.0008,0.0213,0.0,0.0,54,1
000009175.1213072,0.0008,0.6608,0.0372,0.0002,0.0046,0.0015,0.2651,0.0001,0.0001,0.0,0.0003,0.0276,0.0015,0.0002,60,0
000010807B.1212956,0.0054,0.2992,0.0731,0.0012,0.0006,0.0002,0.5976,0.0,0.0002,0.0003,0.0002,0.0138,0.0001,0.0081,49,0
000010879.1213118,0.0005,0.4434,0.1921,0.0001,0.0034,0.0,0.2128,0.0003,0.0,0.0001,0.1146,0.0296,0.0024,0.0007,33,1
000001734.1213036,0.0061,0.1565,0.0914,0.0309,0.0064,0.0,0.6401,0.0002,0.0,0.0053,0.0003,0.0323,0.0124,0.0181,44,0
000010880.1213133,0.0036,0.0088,0.0518,0.0,0.0072,0.0001,0.6046,0.0003,0.0001,0.0077,0.2545,0.0281,0.0332,0.0,47,1
000009549.1213129,0.0017,0.3265,0.107,0.0,0.0055,0.0,0.5437,0.0,0.0,0.0002,0.0005,0.0093,0.0037,0.0019,71,1
000010807A.1213077,0.0029,0.2729,0.0698,0.0007,0.0009,0.0001,0.6338,0.0,0.0,0.0001,0.0003,0.0129,0.0004,0.0052,49,0
000010236.1213021,0.0014,0.3181,0.1757,0.0002,0.0009,0.0,0.4648,0.0001,0.0002,0.0006,0.0065,0.0227,0.0088,0.0,55,1
000010833.1212945,0.0039,0.4623,0.0764,0.0001,0.0003,0.0,0.4047,0.0009,0.0003,0.0,0.0004,0.0423,0.0,0.0084,29,0
000010900.1212969,0.0013,0.0948,0.0589,0.0005,0.0058,0.0009,0.5416,0.0003,0.0002,0.0001,0.2774,0.0108,0.0065,0.0009,35,1
000010817.1210815,0.002,0.1511,0.0502,0.0002,0.005,0.0,0.7528,0.0,0.0,0.0003,0.0009,0.0047,0.0323,0.0005,68,0
000013076.1210749,0.0103,0.2523,0.1037,0.0086,0.0026,0.0054,0.4417,0.0,0.0,0.0002,0.067,0.0785,0.0,0.0297,55,1
000010189.1210526,0.0068,0.3694,0.0585,0.0007,0.0009,0.0008,0.504,0.0001,0.0,0.0026,0.0007,0.0365,0.0099,0.0091,66,0
000009382.1210794,0.0084,0.1017,0.073,0.0611,0.0149,0.0005,0.5952,0.0,0.0375,0.0,0.0996,0.0078,0.0003,0.0,42,0
000001929.1210930,0.0016,0.1616,0.027,0.0118,0.0011,0.0003,0.6357,0.0,0.0002,0.0,0.1232,0.0368,0.0001,0.0006,27,0
000006671.1210751,0.0011,0.2847,0.0762,0.0051,0.0133,0.0005,0.4833,0.0,0.0004,0.0039,0.002,0.0435,0.0763,0.0097,29,0
000011295.1210697,0.0016,0.2282,0.1183,0.0,0.0053,0.0111,0.5891,0.0,0.0,0.0015,0.0038,0.0373,0.0029,0.0009,70,1
000013138.1210825,0.0009,0.0912,0.0931,0.0,0.0022,0.0002,0.2831,0.0,0.0,0.0005,0.4933,0.0199,0.0156,0.0,51,0
000011214.1210879,0.0073,0.1979,0.0404,0.0003,0.0097,0.0,0.7183,0.0,0.0,0.0,0.0013,0.0139,0.006,0.0049,52,1
000010940.1210797,0.003,0.2177,0.0866,0.0017,0.0055,0.0005,0.6385,0.0,0.0,0.0003,0.0129,0.0135,0.0148,0.005,56,1
000004659.1210528,0.0009,0.174,0.337,0.0002,0.0004,0.0007,0.3635,0.0,0.0002,0.0231,0.0784,0.0075,0.0101,0.004,67,0
000013139.1210863,0.0009,0.4503,0.1413,0.0015,0.0027,0.0009,0.3037,0.0,0.0005,0.0003,0.0004,0.0782,0.0,0.0193,56,1
000013908.1210534,0.0036,0.1783,0.0961,0.0059,0.0007,0.0001,0.5229,0.0,0.0,0.0,0.1831,0.0047,0.002,0.0026,40,0
000009151.1210604,0.0009,0.2876,0.1139,0.0,0.0321,0.0003,0.4687,0.0001,0.0,0.0018,0.0005,0.0736,0.0174,0.0031,69,1
000012348.1210690,0.0003,0.2148,0.0368,0.0001,0.0026,0.0002,0.2701,0.0,0.0004,0.0025,0.0008,0.0111,0.0101,0.4502,68,0
000010816.1210936,0.0007,0.4348,0.0756,0.0,0.0031,0.0,0.3546,0.0,0.0,0.0,0.0008,0.1293,0.0011,0.0,70,1
000013167.1210791,0.0007,0.4446,0.0768,0.0,0.0011,0.0022,0.4214,0.0001,0.0003,0.001,0.0042,0.0437,0.0003,0.0036,33,0
